web_scraper_order,web_scraper_start_url,prix,region,titre_vehicule,kilometrage,car_link,car_link-href,boite_vitesse,annee
"1785857784-226","https://www.gaaraas.com/fr/users/dakar-auto?page=45","","","","","","","",""
"1785857790-227","https://www.gaaraas.com/fr/users/dakar-auto?page=44","","","","","","","",""
"1785857790-228","https://www.gaaraas.com/fr/users/dakar-auto?page=44","","","Il n'y a pas d'annonce","","","","",""
"1785857790-229","https://www.gaaraas.com/fr/users/dakar-auto?page=44","","","Souscrire à notre newsletter","","","","",""
"1785857790-230","https://www.gaaraas.com/fr/users/dakar-auto?page=44","","","","","","","",""
"1785857796-231","https://www.gaaraas.com/fr/users/dakar-auto?page=43","","","","","","","",""
"1785857796-232","https://www.gaaraas.com/fr/users/dakar-auto?page=43","","","Il n'y a pas d'annonce","","","","",""
"1785857796-233","https://www.gaaraas.com/fr/users/dakar-auto?page=43","","","Souscrire à notre newsletter","","","","",""
"1785857796-234","https://www.gaaraas.com/fr/users/dakar-auto?page=43","","","","","","","",""
"1785857801-235","https://www.gaaraas.com/fr/users/dakar-auto?page=42","","","","","","","",""
"1785857801-236","https://www.gaaraas.com/fr/users/dakar-auto?page=42","","","Il n'y a pas d'annonce","","","","",""
"1785857801-237","https://www.gaaraas.com/fr/users/dakar-auto?page=42","","","Souscrire à notre newsletter","","","","",""
"1785857801-238","https://www.gaaraas.com/fr/users/dakar-auto?page=42","","","","","","","",""
"1785857805-239","https://www.gaaraas.com/fr/users/dakar-auto?page=41","","","","","","","",""
"1785857805-240","https://www.gaaraas.com/fr/users/dakar-auto?page=41","","","Il n'y a pas d'annonce","","","","",""
"1785857805-241","https://www.gaaraas.com/fr/users/dakar-auto?page=41","","","Souscrire à notre newsletter","","","","",""
"1785857805-242","https://www.gaaraas.com/fr/users/dakar-auto?page=41","","","","","","","",""
"1785857810-243","https://www.gaaraas.com/fr/users/dakar-auto?page=40","","","","","","","",""
"1785857810-244","https://www.gaaraas.com/fr/users/dakar-auto?page=40","","","Il n'y a pas d'annonce","","","","",""
"1785857810-245","https://www.gaaraas.com/fr/users/dakar-auto?page=40","","","Souscrire à notre newsletter","","","","",""
"1785857810-246","https://www.gaaraas.com/fr/users/dakar-auto?page=40","","","","","","","",""
"1785857814-247","https://www.gaaraas.com/fr/users/dakar-auto?page=39","","","","","","","",""
"1785857814-248","https://www.gaaraas.com/fr/users/dakar-auto?page=39","","","Il n'y a pas d'annonce","","","","",""
"1785857814-249","https://www.gaaraas.com/fr/users/dakar-auto?page=39","","","Souscrire à notre newsletter","","","","",""
"1785857814-250","https://www.gaaraas.com/fr/users/dakar-auto?page=39","","","","","","","",""
"1785857819-251","https://www.gaaraas.com/fr/users/dakar-auto?page=38","","","","","","","",""
"1785857819-252","https://www.gaaraas.com/fr/users/dakar-auto?page=38","","","Il n'y a pas d'annonce","","","","",""
"1785857819-253","https://www.gaaraas.com/fr/users/dakar-auto?page=38","","","Souscrire à notre newsletter","","","","",""
"1785857819-254","https://www.gaaraas.com/fr/users/dakar-auto?page=38","","","","","","","",""
"1785857823-255","https://www.gaaraas.com/fr/users/dakar-auto?page=37","","","","","","","",""
"1785857823-256","https://www.gaaraas.com/fr/users/dakar-auto?page=37","","","Il n'y a pas d'annonce","","","","",""
"1785857823-257","https://www.gaaraas.com/fr/users/dakar-auto?page=37","","","Souscrire à notre newsletter","","","","",""
"1785857823-258","https://www.gaaraas.com/fr/users/dakar-auto?page=37","","","","","","","",""
"1785857828-259","https://www.gaaraas.com/fr/users/dakar-auto?page=36","","","","","","","",""
"1785857828-260","https://www.gaaraas.com/fr/users/dakar-auto?page=36","","","Il n'y a pas d'annonce","","","","",""
"1785857828-261","https://www.gaaraas.com/fr/users/dakar-auto?page=36","","","Souscrire à notre newsletter","","","","",""
"1785857828-262","https://www.gaaraas.com/fr/users/dakar-auto?page=36","","","","","","","",""
"1785857832-263","https://www.gaaraas.com/fr/users/dakar-auto?page=35","","","","","","","",""
"1785857832-264","https://www.gaaraas.com/fr/users/dakar-auto?page=35","","","Il n'y a pas d'annonce","","","","",""
